1234567890,c-0000001,RMIT,2023-12-31
2345678901,c-0000002,RMIT,2023-11-30
3456789012,c-0000003,RMIT,2023-10-31
4567890123,c-0000004,RMIT,2023-09-30
5678901234,c-0000005,RMIT,2023-08-31
6789012345,c-0000006,RMIT,2023-07-31
7890123456,c-0000007,RMIT,2023-06-30
8901234567,c-0000008,RMIT,2023-05-31
9012345678,c-0000009,RMIT,2023-04-30
1111111111,c-0000010,RMIT,2023-03-31
2222222222,c-0000011,RMIT,2023-02-28
3333333333,c-0000012,RMIT,2023-01-31
4444444444,c-0000013,RMIT,2022-12-31
5555555555,c-0000014,RMIT,2022-11-30
6666666666,c-0000015,RMIT,2022-10-31
